Month,Alien abduction (alien_terms),Area 51 (conspiracy-adjacent),Men in Black (conspiracy-adjacent),NASA UFO (government_terms),Project Blue Book (conspiracy-adjacent),Roswell (conspiracy-adjacent),U.F.O. (UFO_keywords),UAP (government_terms),UFO (UFO_keywords),UFO Pentagon (government_terms),UFO conspiracy (conspiracy-adjacent),UFO disclosure (government_terms),UFO documentary (popular_culture),UFO sighting (UFO_keywords),UFO video (popular_culture),UFOs (UFO_keywords),alien encounter (alien_terms),alien movies (popular_culture),alien sightings (popular_culture),alien spacecraft (alien_terms),congress UFO (government_terms),contact with aliens (alien_terms),extraterrestrial (alien_terms),unidentified flying object (UFO_keywords)
2014-04,41,2,17,26,2,54,3,3,25,0,30,15,20,1,5,2,27,10,45,17,0,10,28,0
2014-05,31,2,17,23,2,63,5,4,25,0,21,15,21,1,5,2,36,9,44,20,0,9,24,0
2014-06,30,2,17,25,2,64,6,4,24,0,18,11,25,1,6,2,35,9,39,16,0,6,19,0
2014-07,25,2,15,23,2,63,6,4,26,0,15,15,18,1,5,2,29,9,36,13,1,8,19,0
2014-08,41,2,16,24,4,60,6,6,26,0,16,9,18,2,4,2,30,9,35,13,1,0,22,0
2014-09,26,2,13,18,2,51,5,5,22,0,15,9,15,1,5,2,25,7,35,11,1,8,25,0
2014-10,22,2,17,47,2,51,4,5,23,0,19,10,17,1,3,2,28,10,30,14,0,8,48,0
2014-11,23,2,16,32,2,49,6,5,20,0,11,13,17,1,4,2,22,8,29,9,1,10,40,0
2014-12,24,2,17,26,2,51,6,5,19,0,16,11,17,1,4,2,23,8,33,12,1,6,28,0
2015-01,26,2,16,59,15,53,4,5,25,0,19,14,21,1,4,2,26,10,35,22,2,8,27,0
2015-02,20,2,16,23,4,54,7,6,22,0,22,25,17,1,3,2,29,9,32,10,3,12,28,0
2015-03,21,2,15,24,3,52,5,6,20,0,24,13,18,1,3,2,30,9,34,16,1,6,39,0
2015-04,23,2,16,20,2,56,6,6,22,0,13,9,20,1,3,2,29,8,38,17,0,8,34,0
2015-05,24,4,19,17,2,62,4,5,22,0,22,13,19,1,3,2,32,9,36,17,0,11,60,0
2015-06,19,3,16,58,2,61,3,5,19,0,16,11,15,1,3,2,38,9,30,12,0,7,31,0
2015-07,22,3,16,49,2,60,4,5,24,0,13,15,23,1,4,2,36,10,33,15,1,10,30,0
2015-08,20,3,17,33,2,60,5,6,24,0,17,13,21,1,4,2,30,10,35,16,1,9,25,0
2015-09,21,4,17,27,2,53,4,6,23,0,13,12,14,1,4,2,30,9,33,12,1,9,29,0
2015-10,19,2,16,21,2,52,6,7,19,0,18,12,14,1,2,2,29,9,30,20,1,6,31,0
2015-11,18,3,18,63,2,48,7,7,64,0,22,10,19,4,7,2,31,9,100,24,1,9,29,0
2015-12,43,2,15,18,2,52,0,7,21,0,13,9,11,1,2,2,36,9,32,15,0,6,25,0
